bizesId,bizesNm,brchNm,indsLclsCd,indsLclsNm,indsMclsCd,indsMclsNm,indsSclsCd,indsSclsNm,ksicCd,ksicNm,ctprvnCd,ctprvnNm,signguCd,signguNm,adongCd,adongNm,ldongCd,ldongNm,lnoCd,plotSctCd,plotSctNm,lnoMnno,lnoSlno,lnoAdr,rdnmCd,rdnm,bldMnno,bldSlno,bldMngNo,bldNm,rdnmAdr,oldZipcd,newZipcd,dongNo,flrNo,hoNo,lon,lat,chgGb,chgDt
12092893,강남상사,,D,소매,D01,음/식료품소매,D01A01,식료품점,G47219,기타 식료품 소매업,41,경기도,41450,하남시,4145058000,감북동,4145012400,광암동,4145012400102250016,1,대지,225,16,경기도 하남시 광암동 225-16,414503000124,경기도 하남시 서하남로,256,1,4145012400102250010000001,,경기도 하남시 서하남로 256-1,465230,12989,,,,127.172054625678,37.5165043031451,U,20210602
12425869,아리따움,강남스타점,D,소매,D16,화장품소매,D16A01,화장품판매점,G47813,화장품 및 방향제 소매업,11,서울특별시,11680,강남구,1168064000,역삼1동,1168010100,역삼동,1168010100108140006,1,대지,814,6,서울특별시 강남구 역삼동 814-6,116802102001,서울특별시 강남구 강남대로,438,,1168010100108140006023360,스타플렉스,서울특별시 강남구 강남대로 438,135931,06123,,,,127.02632139366,37.501633753283,U,20210602
12448224,이복커피,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,30,대전광역시,30170,서구,3017055500,탄방동,3017010600,탄방동,3017010600100900004,1,대지,90,4,대전광역시 서구 탄방동 90-4,301704298083,대전광역시 서구 계룡로615번길,9,,3017010600100900004024094,,대전광역시 서구 계룡로615번길 9,302857,35264,,1,,127.391395851225,36.3406502892962,U,20210602
12627841,the열림밀당,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,26,부산광역시,26350,해운대구,2635066000,재송2동,2635010400,재송동,2635010400110810002,1,대지,1081,2,부산광역시 해운대구 재송동 1081-2,263504199194,부산광역시 해운대구 재송1로31번길,51,,2635010400110810002012725,,부산광역시 해운대구 재송1로31번길 51,612052,48054,,,,129.124135400325,35.1879022847871,U,20210602
15422354,정미밥집,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,42,강원도,42770,정선군,4277025300,고한읍,4277025321,고한읍,4277025321100620014,1,대지,62,14,강원도 정선군 고한읍 고한리 62-14,427704487023,강원도 정선군 고한읍 고한6길,9,7,4277025321100620014011130,,강원도 정선군 고한읍 고한6길 9-7,233811,26155,,,,128.854039860397,37.200993219811,U,20210602
16056990,CafeCOP,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,41,경기도,41113,수원시 권선구,4111355000,평동,4111312800,고색동,4111312800103060001,1,대지,306,1,경기도 수원시 권선구 고색동 306-1,411134325058,경기도 수원시 권선구 고현로5번길,25,,4111312800103060001035082,거산아파트,경기도 수원시 권선구 고현로5번길 25,441726,16649,101,,,126.986121093208,37.2478604410674,U,20210602
16060185,정자자연숯불갈비,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,31,울산광역시,31710,울주군,3171031000,서생면,3171031024,서생면,3171031024112120000,1,대지,1212,,울산광역시 울주군 서생면 화산리 1212,317104319336,울산광역시 울주군 서생면 무학길,20,,3171031024112120000026975,,울산광역시 울주군 서생면 무학길 20,689881,45012,,,,129.295297400641,35.3473811108015,U,20210602
16177467,허니드론,,R,학문/교육,R09,학원기타,R09A11,학원-기타,P85699,그외 기타 분류안된 교육기관,29,광주광역시,29200,광산구,2920070000,신창동,2920011800,신창동,2920011800112190000,1,대지,1219,,광주광역시 광산구 신창동 1219,292003163030,광주광역시 광산구 신창로,64,,2920011800112190000000001,프뤼몰타운,광주광역시 광산구 신창로 64,506841,62252,,,,126.837463834509,35.1908928695562,U,20210602
16274939,데블스도어,여의도IFC몰점,Q,음식,Q09,유흥주점,Q09A07,기타일반유흥주점,I56211,일반유흥 주점업,11,서울특별시,11560,영등포구,1156054000,여의동,1156011000,여의도동,1156011000100230000,1,대지,23,,서울특별시 영등포구 여의도동 23,115603118002,서울특별시 영등포구 국제금융로,10,,1156011000100230000000001,서울국제금융센터,서울특별시 영등포구 국제금융로 10,150945,07326,,,,126.924863083917,37.5251722235016,U,20210602
16325851,고집센그집갈비탕,대구대명점,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,27,대구광역시,27200,남구,2720066000,대명11동,2720010300,대명동,2720010300115810018,1,대지,1581,18,대구광역시 남구 대명동 1581-18,272003144005,대구광역시 남구 대명서로,131,,2720010300115810018000182,,대구광역시 남구 대명서로 131,705813,42498,,,,128.557861409057,35.8337773818575,U,20210602
